Batch_ID	Cieli_nel_Batch	Tot_Cieli_Analizzati	Superamenti_nel_Batch	Tot_Superamenti	P_Value_Globale
1	100000	100000	11	11	1.100e-04
2	100000	200000	8	19	9.500e-05
3	100000	300000	5	24	8.000e-05
4	100000	400000	7	31	7.750e-05
5	100000	500000	12	43	8.600e-05
6	100000	600000	8	51	8.500e-05
7	100000	700000	8	59	8.429e-05
8	100000	800000	12	71	8.875e-05
9	100000	900000	5	76	8.444e-05
10	100000	1000000	3	79	7.900e-05
11	100000	1100000	7	86	7.818e-05
12	100000	1200000	3	89	7.417e-05
13	100000	1300000	9	98	7.538e-05
14	100000	1400000	10	108	7.714e-05
15	100000	1500000	5	113	7.533e-05
16	100000	1600000	10	123	7.687e-05
17	100000	1700000	9	132	7.765e-05
18	100000	1800000	10	142	7.889e-05
19	100000	1900000	9	151	7.947e-05
20	100000	2000000	7	158	7.900e-05
21	100000	2100000	12	170	8.095e-05
22	100000	2200000	4	174	7.909e-05
23	100000	2300000	8	182	7.913e-05
24	100000	2400000	10	192	8.000e-05
25	100000	2500000	4	196	7.840e-05
26	100000	2600000	6	202	7.769e-05
27	100000	2700000	9	211	7.815e-05
28	100000	2800000	7	218	7.786e-05
29	100000	2900000	9	227	7.828e-05
30	100000	3000000	21	248	8.267e-05
31	100000	3100000	10	258	8.323e-05
32	100000	3200000	9	267	8.344e-05
33	100000	3300000	12	279	8.455e-05
34	100000	3400000	5	284	8.353e-05
35	100000	3500000	10	294	8.400e-05
36	100000	3600000	7	301	8.361e-05
37	100000	3700000	12	313	8.459e-05
38	100000	3800000	13	326	8.579e-05
39	100000	3900000	6	332	8.513e-05
40	100000	4000000	7	339	8.475e-05
41	100000	4100000	9	348	8.488e-05
42	100000	4200000	5	353	8.405e-05
43	100000	4300000	12	365	8.488e-05
44	100000	4400000	15	380	8.636e-05
45	100000	4500000	14	394	8.756e-05
46	100000	4600000	7	401	8.717e-05
47	100000	4700000	13	414	8.809e-05
48	100000	4800000	10	424	8.833e-05
49	100000	4900000	9	433	8.837e-05
50	100000	5000000	12	445	8.900e-05
51	100000	5100000	12	457	8.961e-05
52	100000	5200000	13	470	9.038e-05
53	100000	5300000	11	481	9.075e-05
54	100000	5400000	8	489	9.056e-05
55	100000	5500000	6	495	9.000e-05
56	100000	5600000	11	506	9.036e-05
57	100000	5700000	8	514	9.018e-05
58	100000	5800000	8	522	9.000e-05
59	100000	5900000	10	532	9.017e-05
